Year,Company,Revenue,Net_Income,EPS,Debt_Equity_Ratio,ROE,ROA,EBITDA,Net_Profit_Margin,Operating_Cash_Flow,Market_Cap_B_USD
2009,AIG,75447,-12244,-90.48,1.1552,-45.3061,-1.5123,27765,-16.2286,18584,4.04
2022,PCG,21680,1800,0.84,2.2563,7.8613,1.5289,5693,8.3026,3721,41.28
2021,PCG,20642,-102,-0.05,2.1152,-0.4146,-0.0852,5286,-0.4941,2262,32.2
2020,PCG,18469,-1318,-1.05,1.9227,-6.1356,-1.3326,5223,-7.1363,-19130,24.1
2019,PCG,17129,-7656,-14.5,0,-141.8337,-8.9699,-6860,-44.6961,4816,24.73
2018,PCG,16759,-6851,-13.25,1.7046,-52.9877,-8.8798,-6664,-40.8795,4752,5.75
2017,PCG,17135,1646,3.21,0.9824,8.5251,2.4407,5759,9.6061,5977,12.32
2016,PCG,17666,1393,2.78,1.0134,7.7342,2.0511,4835,7.8852,4409,23.06
2015,PCG,16833,874,1.79,1.0164,5.2769,1.4043,4120,5.1922,3780,30.73
2014,PCG,17090,1436,3.06,0.9802,9.0625,2.4116,4883,8.4026,3690,26.09
2013,PCG,15598,814,1.83,1.0127,5.6736,1.4891,3839,5.2186,3427,25.29
2012,PCG,15040,816,1.92,1.0062,6.2284,1.5825,3965,5.4255,4882,18.1
2011,PCG,14956,844,2.1,1.1241,6.9457,1.7246,4157,5.6432,3739,17.14
2010,PCG,13841,1099,2.82,1.1613,9.6497,2.4183,4213,7.9402,3206,16.73
2009,PCG,13399,1220,3.2,1.2063,11.658,2.8734,4051,9.1052,3039,18.76
2018,SHLDQ,16702,-383,-3.57,-1.1099,10.2874,-5.274,-52,-2.2931,-1842,0.04
2017,SHLDQ,22138,-2221,-20.78,-1.0887,58.0805,-23.7236,-1610,-10.0325,-1381,0.37
2016,SHLDQ,25146,-1129,-10.59,-1.5215,57.6687,-9.9497,-570,-4.4898,-2167,1.11
2015,SHLDQ,31198,-1682,-15.82,-3.9958,191.5344,-13.7277,-889,-5.3914,-1387,2.19
2014,SHLDQ,36188,-1365,-12.87,1.9464,-51.1223,-6.1114,-195,-3.772,-1109,3.51
2013,SHLDQ,39854,-930,-8.78,0.9836,-33.2283,-5.4498,-8,-2.3335,-303,4.9
2012,SHLDQ,41567,-3140,-29.4,0.8047,-71.8728,-14.5924,-648,-7.5541,-275,4.47
2011,SHLDQ,42664,133,1.19,0.3707,1.6137,0.5706,1306,0.3117,123,3.39
2010,SHLDQ,43360,235,1.99,0.2655,2.9677,1.1287,1561,0.542,1507,8.22
2009,SHLDQ,46770,53,0.42,0.301,1.0207,0.3907,1283,0.1133,992,8.98
2022,MCD,23182.6,6177.4,8.33,-5.9805,-102.8983,12.2481,11241.6,26.6467,7386.7,186.39
2021,MCD,23222.9,7545.2,10.04,-7.7424,-163.9903,14.0104,12224.1,32.4903,9141.5,193.02
2020,MCD,19207.8,4730.5,6.31,-4.7848,-60.4545,8.9888,9075.4,24.628,6265.2,200.31
